Date,Open,High,Low,Close,Adj Close,Volume
,,,,,,34272000
,,,,,,25160800
,,,,,,31852800
,,,,,,102631200
,,,,,,43719200
,,,,,,27176800
,,,,,,24500000
,,,,,,30094400
,,,,,,65727200
,,,,,,79318400
,,,,,,123631200
,,,,,,27871200
,,,,,,30945600
,,,,,,27518400
,,,,,,16710400
,,,,,,24035200
,,,,,,31309600
,,,,,,85142400
,,,,,,79374400
,,,,,,34960800
,,,,,,30973600
,,,,,,16884000
,,,,,,16794400
,,,,,,24690400
,,,,,,41333600
,,,,,,51940000
,,,,,,43825600
,,,,,,41652800
,,,,,,34316800
,,,,,,42728000
,,,,,,35280000
,,,,,,41680800
,,,,,,69266400
,,,,,,51262400
,,,,,,67608800
,,,,,,66242400
,,,,,,47471200
,,,,,,136880800
,,,,,,88166400
,,,,,,81356800
,,,,,,106209600
,,,,,,107626400
,,,,,,99265600
,,,,,,79615200
,,,,,,103045600
,,,,,,55932800
,,,,,,123110400
,,,,,,69059200
,,,,,,34434400
,,,,,,54504800
,,,,,,47510400
,,,,,,48608000
,,,,,,61370400
,,,,,,33006400
,,,,,,86738400
,,,,,,56627200
,,,,,,131756800
,,,,,,106708000
,,,,,,43405600
,,,,,,37458400
,,,,,,54992000
,,,,,,77056000
,,,,,,56632800
,,,,,,24634400
,,,,,,47241600
,,,,,,100895200
,,,,,,79766400
,,,,,,61857600
,,,,,,38276000
,,,,,,32692800
,,,,,,48400800
,,,,,,183495200
,,,,,,118389600
,,,,,,71500800
,,,,,,54857600
,,,,,,62781600
,,,,,,60401600
,,,,,,45354400
,,,,,,31192000
,,,,,,42862400
,,,,,,101242400
,,,,,,40616800
,,,,,,20092800
,,,,,,27490400
,,,,,,30357600
,,,,,,27837600
,,,,,,32401600
,,,,,,21795200
,,,,,,28515200
,,,,,,56856800
,,,,,,60664800
,,,,,,40465600
,,,,,,49683200
,,,,,,65973600
,,,,,,56728000
,,,,,,36668800
,,,,,,18132800
,,,,,,14957600
,,,,,,16912000
,,,,,,30811200
,,,,,,50607200
,,,,,,24007200
,,,,,,25648000
,,,,,,29573600
,,,,,,19734400
,,,,,,21907200
,,,,,,29926400
,,,,,,15551200
,,,,,,23682400
,,,,,,14336000
,,,,,,82443200
,,,,,,39530400
